"","Name","Price","Rating","Reviews","Ratings"
"87","Ozeino Wireless Gaming Headset with Microphone, 2.4G & Type C Transmitter - 30h Battery Life - RGB Lighting Gaming Headphones for PS5, PS4, PC, Phone  ","£296.99£296.99","1,623","4.5 out of 5 stars",NA
"88","SteelSeries Arctis 7+ Wireless Gaming Headset - Lossless 2.4 GHz - 30 Hour Battery Life - For PC, PS5, PS4, Mac, Android and Switch - White  ","£31.99£31.99","35,121","4.4 out of 5 stars",NA
"89","Snpurdiri 60% Wired Gaming Keyboard, RGB Backlit,Ultra-Compact Mini Keyboard with Detachable Cable,Black and White Color  ","£45.99£45.99","9,476","4.0 out of 5 stars",NA
"90","NEWMEN GM326 Wired Gaming Keyboard,75% Percent TKL Hot Swappable Compact LED Backlit USB C Mechanical Gaming Keyboard with Knob for PC Windows Mac,QWERTY Layout,White,Red Switches  ","£118.26£118.26","124","4.4 out of 5 stars",NA
"91",NA,"£145.82£145.82",NA,"4 Stars & Up",NA
"92",NA,"£31.99£31.99",NA,"3 Stars & Up",NA
"93",NA,"£24.99£24.99",NA,"2 Stars & Up",NA
"94",NA,"£27.49£27.49",NA,"1 Star & Up",NA
"95",NA,NA,NA,NA,NA
"96",NA,NA,NA,NA,NA
"97",NA,NA,NA,NA,NA
"98",NA,NA,NA,NA,NA
"99","VGUARD Gaming Mouse, Comfortable Wired USB Optical RGB Ergonomic Mice for PC Computer Laptop, 6 Programmable Buttons, 4 Adjustable Sensitivity, 7 Colors LED Backlight - Black(Upgraded Version)  ","£9.99£9.99","6,315","4.5 out of 5 stars",NA
"100","Toshiba Canvio Partner 1TB Portable 2.5"" External HDD, USB 3.2 Gen 1, Mac and Windows Compatible, USB Powered  ","£15.82£15.82","98,952","4.6 out of 5 stars",NA
"101","SteelSeries Apex 3 TKL - RGB Gaming Keyboard - Tenkeyless Compact Esports Form Factor - 8-Zone RGB Illumination - IP32 Water & Dust Resistant - English QWERTY Layout  ","£44.16£44.16","965","4.6 out of 5 stars",NA
