"","speakerName","speakerPrice","speakerRatings","speakerReview"
"54","PYLE Dual Waterproof Outdoor Speaker System - 5.25'' Pair of Weatherproof Wall/Spring Loaded Speaker Terminal w/Heavy Duty Grill, Universal Mount, For Pool, Patio, & Indoor Use PDWR40B (Black)","£274.99£274.99",NA,"154"
"55","Gikfun 2"" 4Ohm 5W Full Range Audio Speaker Stereo Woofer Loudspeaker for Arduino Replacement (Pack of 2pcs) EK1949","£91.66£91.66",NA,"160"
"56","Harman Kardon Allure Home Voice Activated Speaker with Alexa, Black (Renewed)","£99.99£99.99",NA,"154"
"57","Polk Audio Atrium 4 Outdoor Speakers (Pair, Black)","£72.39£72.39",NA,"2,664"
"58","VIBE Audio Critical Link 6.5""Replacement Speaker - Single Pack","£91.66£91.66",NA,"25"
"59","Adastra WA-215 | In-Wall Digital Bluetooth Ceiling Stereo Audio System | 30Watts, White","£99.99£99.99",NA,"33"
"60","Monoprice 133833 Premium Immersive Satellite Speakers - Black (Pair) with 3Inch Woofer, 3/4Inch Aluminum Dome & 100 Watt Input Power","£449.10£449.10",NA,"212"
"61","Audio Pro Addon C5A with Alexa built-in, Wireless, Bluetooth, Smart Speaker with Multi-room – Black","£33.32£33.32","4.6 out of 5 stars","157"
"62","Pioneer TS-G170C 17 cm Separate 2-way Speaker System (300W)","£80.72£80.72","4.3 out of 5 stars","778"
"63","Bose SoundTouch 10 Wireless Music System - White","£107.99£107.99","4.6 out of 5 stars","1,688"
"64","Eagle 100 V Line Compact Flush Fit Ceiling Speaker Gold 6W","£190.39£190.39","4.7 out of 5 stars","157"
"65","Audio Pro Addon C5A with Alexa built-in, Wireless, Bluetooth, Smart Speaker with Multi-room – Grey","£24.29£24.29","4.6 out of 5 stars","92"
"66","Bluesound Vault 2i - Hi-Res Streamer, Ripper, 2TB NAS Drive - Black","£33.29£33.29","4.6 out of 5 stars","419"
"67","Gikfun 1.5"" 4Ohm 3W Full Range Audio Speaker Stereo Woofer Loudspeaker for Arduino (Pack of 2pcs) EK1794","£494.95£494.95",NA,"32"
"68","EDGE Audio 5.25” Co-axial speaker - 50/100 W (RMS/MAX), Black, EDST215-E6","£91.66£91.66",NA,"7"
"69","2x 6.5"" 200W Moisture Resistant Stereo Loud Speakers 8Ohm Black Wall Mounted","£207.50£207.50",NA,"104"
"70","Edifier MS50A Wi-Fi Smart Speaker Without Microphone, Works with Alexa, Supports AirPlay 2, Spotify Connect, 40W RMS One-Piece Wi-Fi and Bluetooth Sound System","£215.83£215.83",NA,"770"
"71","Loops UK Wireless/Bluetooth Amplifier & 2x 80W Ceiling Speaker Kit–Compact Home Hi-Fi Amp","£35.82£35.82",NA,"28"
"72","Polk Audio Atrium 8 Speaker - Black","£188.10£188.10",NA,"4"
"73","Adastra | Weatherproof Outdoor Speaker | 70W | Black 4""","£28.55£28.55",NA,"11"
"74","MILISTEN 8pcs Speaker Port Tube Subwoofer Bass Reflex Tube Bass Woofer Box Port Tube Vent 40mm","£274.99£274.99",NA,"80"
"75","Bar Restaurant Bluetooth Wall Speaker System Background Music Wireless Amp Kit","£91.66£91.66",NA,"4"
"76","AZDelivery 6x DFplayer Mini 3 watt 8 ohm portable small speakers with JST-PH2.0 mm pin interface for electronic DIY projects including eBook","£99.99£99.99",NA,"1"
"77","Q.Acoustics QI1150 - Qi65C-ST Single Stereo Ceiling Speaker","£72.39£72.39",NA,"29"
